Country Name,Crime Type,2016,2017,2018,2019,2020,2021
Argentina,Economic,270125.0,127577.0,139016.5,167431.0,228284.0,
Argentina,Firearms,3212.56,3874.51,,,424.0,
Argentina,Homicide,146.0,379.43,391.5,386.04,399.33,
Argentina,Human Trafficking,86.08,207.17,195.62,237.8,140.1,
Argentina,Violent & Sexual Assault,120984.4,96042.33,99008.67,110863.17,37467.2,
Bahrain,Human Trafficking,21.0,16.5,12.0,13.0,31.5,41.5
Brazil,Drug Related,,244583.0,289395.0,,1645.0,
Brazil,Economic,78783.0,664806.0,826042.33,638818.33,517804.0,
Brazil,Firearms,783.47,503.93,13320.71,,,
Brazil,Homicide,,,830.67,723.0,672.0,
Brazil,Human Trafficking,42.0,,50.5,46.5,16.0,
Brazil,Violent & Sexual Assault,447176.2,463138.6,416450.0,368279.8,130751.5,
Chile,Drug Related,26040.0,34619.0,33916.0,,40.87,
Chile,Economic,62604.25,27043.41,26698.06,29936.82,32903.1,
Chile,Firearms,,,523.37,416.2,,
Chile,Homicide,100.29,124.97,130.97,128.12,157.38,
Chile,Human Trafficking,6.5,,10.5,25.25,17.0,
Chile,Violent & Sexual Assault,21821.57,13251.33,14456.83,15615.17,6243.43,
Egypt,Drug Related,,,,,55072.0,
Egypt,Human Trafficking,25.0,18.9,61.5,,31.5,
Libya,Firearms,53.06,54.69,,,,
Libya,Human Trafficking,198.0,,,,,
Madagascar,Drug Related,,149.0,,,,
Madagascar,Human Trafficking,,11.5,9.0,,,
United States of America,Drug Related,,42155.0,39673.0,,,
United States of America,Economic,1346179.33,1304542.83,1222602.67,1176346.17,9393.0,
United States of America,Firearms,40837.0,45429.0,41841.5,44086.75,49007.88,
United States of America,Homicide,2612.77,2539.47,2394.03,2382.16,3023.22,
United States of America,Human Trafficking,749.43,887.3,801.62,849.42,570.5,1928.5
United States of America,Violent & Sexual Assault,422733.33,422195.0,412015.67,411080.33,523967.5,
Uruguay,Drug Related,995.0,947.0,842.0,949.0,4675.0,
Uruguay,Economic,32996.5,33932.5,42903.75,41636.75,36264.5,
Uruguay,Firearms,1454.33,648.5,,,498.5,
Uruguay,Homicide,46.92,43.11,67.08,57.43,48.26,
Uruguay,Human Trafficking,89.0,72.0,,16.0,,
Uruguay,Violent & Sexual Assault,4072.5,4033.0,5662.67,5710.5,597.4,
